n = 2020
1)	1015	1039
2)	1549	749
3)	1030	1042
4)	1186	804
5)	726	16
6)	1013	1036
7)	1170	1692
8)	1020	992
9)	1952	842
10)	919	1865
11)	455	248
12)	871	1461
13)	1718	1732
14)	12	1858
15)	1018	984
16)	453	1731
17)	1002	1040
18)	1010	1046
19)	1133	1028
20)	645	617
21)	18	600
22)	229	833
23)	1703	1872
24)	360	74
25)	506	284
26)	1822	1559
27)	933	384
28)	1884	1937
29)	1097	1691
30)	514	1333
31)	1637	1795
32)	452	1510
33)	997	1046
34)	549	778
35)	166	1066
36)	1673	1044
37)	1009	988
38)	995	1033
39)	1029	1074
40)	967	537
41)	898	297
42)	988	990
43)	543	1648
44)	1039	1041
45)	121	1931
46)	998	1003
47)	464	1007
48)	1700	945
49)	1001	1017
50)	993	1006
51)	1898	1000
52)	1585	1590
53)	1992	69
54)	1779	398
55)	198	927
56)	1030	972
57)	1740	650
58)	442	973
59)	1022	990
60)	1245	1258
61)	492	579
62)	485	606
63)	1938	1514
64)	1433	516
65)	832	2017
66)	662	607
67)	999	484
68)	328	257
69)	1454	268
70)	63	752
71)	1007	972
72)	1012	998
73)	1017	1034
74)	1863	135
75)	288	1587
76)	1016	989
77)	925	1673
78)	1047	1195
79)	1573	1344
80)	220	221
81)	1019	940
82)	1008	1216
83)	498	849
84)	1026	1000
85)	685	437
86)	36	1909
87)	1013	1000
88)	1032	1000
89)	1366	1530
90)	985	979
91)	970	1048
92)	1200	843
93)	1005	981
94)	220	1268
95)	427	1117
96)	134	739
97)	535	315
98)	996	1007
99)	1375	898
100)	1055	978
101)	1042	1013
102)	1168	1079
103)	424	591
104)	1699	1695
105)	1008	1003
106)	1940	289
107)	1038	1013
108)	1777	1875
109)	1546	1359
110)	1031	1030
111)	1019	1013
112)	561	1017
113)	998	993
114)	79	649
115)	1703	470
116)	623	1062
117)	996	1685
118)	1008	1020
119)	703	181
120)	1620	1493
121)	383	613
122)	841	702
123)	1015	1040
124)	697	1702
125)	1909	898
126)	1014	1026
127)	1031	998
128)	1010	977
129)	1033	1046
130)	2012	738
131)	1068	987
132)	924	1818
133)	1051	820
134)	11	418
135)	309	756
136)	285	1270
137)	1789	1880
138)	695	1655
139)	1950	1506
140)	974	1060
141)	1851	1668
142)	1129	1534
143)	1183	1247
144)	1050	386
145)	275	313
146)	1038	983
147)	988	1023
148)	1013	985
149)	1513	473
150)	39	159
151)	1261	1712
152)	1345	1945
153)	1248	1785
154)	1823	243
155)	1006	1030
156)	1514	981
157)	1636	751
158)	1833	1335
159)	971	1018
160)	1259	240
161)	1984	1803
162)	1811	1380
163)	988	1001
164)	984	998
165)	517	414
166)	781	200
167)	589	85
168)	1011	1020
169)	481	228
170)	254	1966
171)	1639	1420
172)	959	965
173)	1037	1000
174)	1859	888
175)	438	1945
176)	1633	953
177)	999	997
178)	2006	1948
179)	1808	463
180)	992	1005
181)	1279	1591
182)	1732	1174
183)	94	117
184)	1673	1214
185)	995	990
186)	1030	1034
187)	1786	574
188)	1667	913
189)	1166	199
190)	217	180
191)	1537	1892
192)	920	1877
193)	997	973
194)	422	1603
195)	1282	783
196)	970	1005
197)	1032	986
198)	191	925
199)	1993	940
200)	979	1013
201)	357	880
202)	1767	331
203)	1831	228
204)	1297	369
205)	1004	1048
