n = 64
1)	38	1
2)	29	55
3)	26	29
4)	35	36
5)	38	34
6)	34	28
7)	26	1
8)	36	37
9)	33	39
10)	11	5
11)	43	61
12)	36	34
13)	57	20
14)	48	7
15)	28	42
16)	51	20
17)	27	28
18)	27	34
19)	51	61
20)	36	33
21)	61	24
22)	58	48
23)	28	29
24)	27	32
25)	31	32
26)	22	36
27)	4	44
28)	34	34
29)	50	61
30)	41	15
31)	29	34
32)	41	35
33)	12	63
34)	20	39
35)	25	34
36)	36	57
37)	29	42
38)	51	25
39)	7	20
40)	38	38
41)	44	3
42)	9	46
43)	34	32
44)	23	2
45)	35	18
46)	53	48
47)	23	39
48)	34	35
49)	2	61
50)	16	45
51)	26	30
52)	36	23
53)	13	18
54)	27	36
55)	25	38
56)	38	12
57)	58	36
58)	33	28
59)	58	17
60)	58	28
61)	18	33
62)	30	7
63)	32	33
64)	0	59
